title,url,rating,rating_count,description,genre,content_rating,duration
Jagten,https://www.imdb.com/title/tt2106476/,8.3,373468,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",Drama,R,PT1H55M
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,8.3,1099409,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama, Romance, Sci-Fi",R,PT1H48M
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,8.3,733013,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","Adventure, Sci-Fi",G,PT2H29M
Ikiru,https://www.imdb.com/title/tt0044741/,8.3,90204,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,Not Rated,PT2H23M
Reservoir Dogs,https://www.imdb.com/title/tt0105236/,8.3,1107890,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime, Thriller",R,PT1H39M
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,8.3,320675,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure, Biography, Drama",PG,PT3H47M
The Apartment,https://www.imdb.com/title/tt0053604/,8.3,200929,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.","Comedy, Drama, Romance",Approved,PT2H5M
Incendies,https://www.imdb.com/title/tt1255953/,8.3,211330,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,"Drama, Mystery, War",R,PT2H11M
Scarface,https://www.imdb.com/title/tt0086250/,8.3,936478,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.","Crime, Drama",R,PT2H50M
North by Northwest,https://www.imdb.com/title/tt0053125/,8.3,351449,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action, Adventure, Mystery",Approved,PT2H16M
Citizen Kane,https://www.imdb.com/title/tt0033467/,8.3,472086,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;","Drama, Mystery",PG,PT1H59M
Double Indemnity,https://www.imdb.com/title/tt0036775/,8.3,170196,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.","Crime, Drama, Film-Noir",Approved,PT1H47M
Oppenheimer,https://www.imdb.com/title/tt15398776/,8.3,805159,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bomb, thus helping end World War 2. We see his life from university days all the way to post-WW2.","Biography, Drama, History",R,PT3H
M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,8.3,171596,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime, Mystery, Thriller",Passed,PT1H39M
Vertigo,https://www.imdb.com/title/tt0052357/,8.3,435177,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Mystery, Romance, Thriller",PG,PT2H8M
Heat,https://www.imdb.com/title/tt0113277/,8.3,733765,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Action, Crime, Drama",R,PT2H50M
Full Metal Jacket,https://www.imdb.com/title/tt0093058/,8.2,803986,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama, War",R,PT1H56M
Le fabuleux destin d&apos;Amélie Poulain,https://www.imdb.com/title/tt0211915/,8.3,804687,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Comedy, Romance",R,PT2H2M
Up,https://www.imdb.com/title/tt1049413/,8.3,1149137,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","Animation, Adventure, Comedy",PG,PT1H36M
A Clockwork Orange,https://www.imdb.com/title/tt0066921/,8.2,894093,Alex DeLarge and his droogs barbarize a decaying near-future.,"Crime, Sci-Fi",R,PT2H16M
